"Status","Month","Ro","Time"
"Total Lockdown",2020-03-01,2.06329467461318,1
"Total Lockdown",2020-04-01,2.06062079041677,2
"Total Lockdown",2020-05-01,2.04043852806657,3
"Total Lockdown",2020-06-01,2.02942422929205,4
"Total Lockdown",2020-07-01,2.02515826994617,5
"Partially opening",2020-08-01,2.02136276873776,6
"Partially opening",2020-09-01,2.03117789057454,7
"Partially opening",2020-10-01,2.02175995174302,8
"Partially opening",2020-11-01,2.01849288325859,9
"Partially opening",2020-12-01,2.01624900301865,10
"Reopening",2021-01-01,2.01839101634304,11
"Reopening",2021-02-01,2.02229040964769,12
"Reopening",2021-03-01,2.02353340269715,13
"Reopening",2021-04-01,2.02665981116769,14
"Reopening",2021-05-01,2.02613135282792,15
"Reopening",2021-06-01,2.02892336966056,16
"Reopening",2021-07-01,2.01801769884363,17
"Reopening",2021-08-01,2.01080671987113,18
